opis_id,name,address,city,state,rack_id,retail_price,latitude,longitude,geocode_quality
9,KWIK TRIP #796,"I-94, EXIT 143 & US-12 & SR-21",Tomah,WI,420,3.28733333,43.97858,-90.50402,city_centroid
20,PILOT TRAVEL CENTER #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,930,3.899,32.94782,-112.71683,city_centroid
28,LITTLEFIELD EXPRESS #2,"I-540, EXIT 12 & US-71",Fort Smith,AR,645,3.399,35.38592,-94.39855,city_centroid
36,SHENANDOAH TRUCK CENTER,"I-81, EXIT 273 & SR-703/SR-292",Mount Jackson,VA,60,2.899,38.74595,-78.64224,city_centroid
44,CIRCLE K #2612042,"I-35,  EXIT 271",Jarrell,TX,595,2.919,30.82491,-97.60445,city_centroid
49,TA SEYMOUR TRAVEL CENTER,"I-65, EXIT 50 & US-50 & US-31",Seymour,IN,415,3.959,38.95922,-85.89025,city_centroid
50,TA COUNCIL BLUFFS TRAVEL CENTER,"I-29 & I-80, EXIT 3",Council Bluffs,IA,319,3.72566666,41.26194,-95.86083,city_centroid
75,Good 2 Go #709,US-50,Montrose,CO,810,3.424,38.47832,-107.87617,city_centroid
77,OASIS TRAVEL PLAZA,US-13,Laurel,DE,243,3.229,38.5565,-75.57131,city_centroid
79,DELAWARE TRUCK PLAZA,US-13 & US-40,New Castle,DE,243,3.249,39.65948,-75.56359,city_centroid
81,One9 #89,"I-75, EXIT 224",Ellenton,FL,225,3.439,27.52171,-82.5276,city_centroid
91,MOLLYS FOOD & FUEL,"I-20 & ST 22, EXIT 55",Crawfordville,GA,135,3.499,33.55402,-82.89598,city_centroid
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.319,43.35947,-83.88164,city_centroid
121,PETRO STOPPING CENTER #306,"I-10, EXIT 200",Eloy,AZ,930,3.474,32.7559,-111.55484,city_centroid
127,CIRCLE K #4700095,US-41,Henderson,KY,340,3.609,37.83615,-87.59001,city_centroid
128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham,IL,510,3.399,39.12004,-88.54338,city_centroid
135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,290,3.449,41.42087,-90.01511,city_centroid
147,SPEEDWAY #8039,"I-69, EXIT 234 & SR-67",Daleville,IN,375,3.624,40.12115,-85.55803,city_centroid
149,RAYS TRUCK WASH,"I-69, EXIT 309 & US-30",Fort Wayne,IN,370,3.59233333,41.1306,-85.12886,city_centroid
151,CUBBYS #2101,"I-80, EXIT 211 & SR-47",Gothenburg,NE,475,3.13233333,40.92945,-100.16068,city_centroid
159,PILOT TRAVEL CENTER #87,"I-10, EXIT 343",Jacksonville,FL,75,3.859,30.33218,-81.65565,city_centroid
160,PILOT TRAVEL CENTERS #79,"I-12, EXIT 10 AT MILE 10",Denham Springs,LA,600,3.23233333,30.4874,-90.95753,city_centroid
